#,PLAYER,PTS,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,STATUS,BYE
1,"Wilson, Russell SEA QB",401.8,25.11,7.3,17.3,41.5,29.6,12.5,B,32.4,42.1,25.6,23.4,32.9,26.6,30.2,24.8,12.6,18.6,24.4,The Worst to First All Stars,6
2,"Brady, Tom NEP QB",348.9,21.81,10.7,36.8,44.7,24.5,12.6,19.2,22.5,19.5,B,28.6,31.6,26.7,7.3,9.3,16.7,18.6,19.6,Marauders,9
3,"Smith, Alex WAS QB",341.1,22.74,39,18.1,19.1,29.3,B,17.1,31.7,14.4,21.4, ,5.9,14.5,45.6,10.1,22.5,19.5, ,Free Agent (I),5
4,"Wentz, Carson PHI QB",337.7,25.98,20.9,27.8,15.2,17.1,34.3,26.4,38,20.1,32.8,B,24,30,16.9,34.2, , , ,Free Agent (Q),10
5,"Newton, Cam CAR QB",326.5,20.41,16.1,11.8,5.3,38,32.2,19.7,4.4,13.6,20.1,43.7,B,17.5,24.4,15.5,39.5,14.6,10.1,Tasty Reubens (Q),11
6,"Gurley, Todd LAR RB",317.3,21.15,15.6,22.6,32.9,27.5,2,12,21.4,B,22.4,13.6,11.6,12.8,15.8,25.5,42,39.6, ,Super Mojo Juggernaut,8
7,"Rivers, Philip LAC QB",315.5,19.72,22.7,19.2,0.5,22.9,25.8,16.3,19.3,11.5,B,18.3,22,34.9,19.6,24.8,6.1,17.6,34,Tecmo Bowls (Q),9
8,"Stafford, Matthew DET QB",314.8,19.68,34.1,16.2,18.5,10.1,18.2,15.9,B,18,26.4,26.7,21.3,16,11.9,15.2,21.4,11.8,33.1,Free Agent,7
9,"Cousins, Kirk WAS QB",313.6,19.6,9.6,13.9,32.8,24.6,B,30.8,28.9,10.5,7.3,28.6,32,19.1,13.6,9.8,19.8,27.8,4.5,Vision,5
10,"Roethlisberger, Ben PIT QB",301.6,20.11,18.7,21.5,13,11.5,-2.4,12.9,20.7,15.5,B,20.9,37,36.5,21,32.7,21.2,20.9, ,Super Mojo Juggernaut,9
11,"Goff, Jared LAR QB",301.3,20.09,18.4,11.9,29.6,22.1,4.7,11.9,19.7,B,36.4,32.5,9.8,22.9,18,17.2,13.8,32.4, ,Cooter Brown's Poon Hounds,8
12,"Brees, Drew NOS QB",300.4,18.77,17.6,26.2,26.8,23,B,13.5,19.1,11.8,22.7,14,24.6,16.3,16.5,20,20.1,12.2,16,Honkey Kong,5
13,"Prescott, Dak DAL QB",288.7,18.04,19.1,17.9,26.9,27.6,34.7,B,36,7.3,30.7,11.2,-5.2,1.2,18.9,32.6,11.7,3.3,14.8,Free Agent,6
14,"Bortles, Blake JAC QB",275.7,17.23,12.3,8.8,35.6,12.4,1.7,14.5,17.3,B,18.4,16.3,9.6,21.6,29.1,22.5,31,23.4,1.2,Free Agent,8
15,"Keenum, Case MIN QB",274.1,18.27, ,6.7,34.6,8.8,13.8,14.1,5.4,20.5,B,30.1,19.2,31.3,21,20.2,23.4,11.4,13.6,Free Agent,9
16,"Bell, Le'Veon PIT RB",254.6,16.97,4.7,9.1,15.8,30.6,9.3,25.1,19.2,11.1,B,11.2,10.3,15.3,24.2,30.5,22.5,15.7, ,Free Agent (O),9
17,"Ryan, Matt ATL QB",253.1,15.82,19.9,16.9,14.7,7.5,B,12.9,19,17.9,21.4,17.6,21,18.8,7,5.8,17.4,15.2,20.1,Ace (Q),5
18,"Dalton, Andy CIN QB",244.7,15.29,-8,9.5,20.3,35.3,13.3,B,12.4,22.7,5.3,16.6,24.6,23.2,23.3,8.6,-1.5,12.4,26.7,Free Agent (I),6
19,"Taylor, Tyrod BUF QB",244.6,16.31,21.8,10.5,21.8,14.5,9.9,B,22,18.7,29.9,1.9,19.1,16,2.8, ,25.2,12.8,17.7,Free Agent,6
20,"Hunt, Kareem KCC RB",241.2,15.07,39.6,22.9,24.3,12.1,11.6,11,11.7,6.8,6.1,B,7.7,2.6,6.3,19.8,32.6,16.6,9.5,Free Agent (O),10
21,"Kamara, Alvin NOS RB",238.4,14.9,3.8,5.4,10.2,15.6,B,8.7,10.7,13.6,24.2,19.8,19.6,30.8,24.6,2.7,14.9,9,24.8,Tecmo Bowls,5
22,"Carr, Derek OAK QB",234.3,15.62,22.7,27.2,5.2,11.7, ,6.8,36.2,12.5,14.7,B,14.5,18.8,17.4,10.4,20.5,5.9,9.8,Free Agent,10
23,"Gordon, Melvin LAC RB",230.1,14.38,13.9,13.8,13.9,2.9,28.3,27,4.4,19.9,B,4.2,14,8.8,10.6,14.3,22.9,18.8,12.4,Tecmo Bowls,9
24,"McCown, Josh NYJ QB",228.6,17.58,7.5,18.7,16.7,3,16.5,22.3,29.5,22.3,18.9,13.5,B,30.1,33.1,-3.5, , , ,Free Agent,11
25,"Brissett, Jacoby IND QB",222,13.88,2,7.8,29.8,9.6,17,16,11.1,18.9,22.5,18.6,B,6.4,10.6,9.8,14.1,15.4,12.4,Free Agent,11
26,"Winston, Jameis TBB QB",221.8,17.06,B,14.5,16.5,32.5,20.5,2.4,27.4,0.7,3.5, , , ,21.6,15.4,31.8,12.3,22.7,Free Agent,1
27,"Mariota, Marcus TEN QB",220.4,14.69,18.8,14,23.7,13.7, ,15.2,8.9,B,18.3,18.7,12.7,7.8,20.3,1.5,22,10.4,14.4,Honkey Kong (Q),8
28,"Ingram, Mark NOS RB",217,13.56,7.1,7.6,8.6,6.2,B,24,17,9.9,7.9,31.1,21.5,3.6,18.2,9.2,27.1,12.6,5.4,Cooter Brown's Poon Hounds,5
29,"Hopkins, DeAndre HOU WR",212.8,14.19,11.5,7.3,7.6,16.7,23.2,7.9,B,28.4,14.6,11.1,13.6,12.5,8,23.9,14,12.5, ,Honkey Kong (Q),7
30,"Brown, Antonio PIT WR",209.3,14.95,18.2,6.2,17,3.4,15.7,21.5,12.5,7,B,4.7,32.4,30.9,16.1,21.3,2.4, , ,Straight Ballin,9
